x,y
1054,461
1061,446
1049,427
1046,415
1055,404
1047,394
1038,384
1041,372
1041,361
1036,351
1038,342
1035,335
1029,328
1027,321
1027,313
1024,309
1022,304
1020,299
1019,296
1018,294
1016,291
1015,289
1014,287
1014,286
1013,284
1013,284
1012,283
1012,282
1011,282
1011,282
1011,281
1011,281
1011,281
1011,281
1010,280
1010,280
1010,280
1010,280
1010,279
1010,279
1010,279
1010,279
1000,291
984,306
962,290
942,295
921,284
902,271
879,269
869,246
844,243
835,219
813,209
796,196
786,175
764,169
756,148
734,142
723,125
714,113
704,105
698,98
693,93
689,88
687,86
685,84
683,83
682,81
681,81
681,80
680,79
680,79
679,79
679,78
678,78
679,78
678,78
678,78
678,78
678,77
678,77
678,77
678,77
677,77
677,77
677,77
677,77
677,77
677,77
677,77
677,76
677,77
677,76
677,76
677,76
677,76
677,76
677,76
677,76
676,76
676,76
677,76
677,76
676,76
676,76
677,76
677,76
676,76
677,76
676,76
677,76
676,76
676,76
676,75
676,76
676,76
676,76
676,76
677,76
677,76
676,76
676,76
676,76
676,75
676,76
676,76
677,76
676,75
677,76
676,76
676,75
676,75
676,75
677,76
676,76
676,75
676,75
676,75
676,75
676,75
676,76
676,75
676,76
676,76
676,75
676,76
676,76
676,76
676,75
676,75
676,75
676,75
676,75
676,76
676,76
676,75
676,76
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,75
677,76
676,75
676,75
676,76
676,76
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,76
676,75
676,76
676,76
676,76
676,75
676,75
676,75
676,75
676,75
676,75
676,75
676,76
676,75
676,75
676,75
676,76
676,75
676,75
676,76
677,75
685,72
691,68
682,61
680,53
684,45
677,38
671,35
668,34
666,34
661,33
658,33
657,33
656,33
654,33
652,32
650,32
649,31
648,31
647,31
647,31
646,31
645,31
645,31
645,31
644,31
644,31
644,31
643,31
643,31
643,31
643,31
643,31
643,31
642,31
642,32
642,32
642,32
642,31
642,31
642,31
641,31
641,32
641,31
641,32
641,31
641,32
641,31
641,31
641,31
641,31
641,31
641,32
640,32
641,31
641,32
641,32
641,32
640,32
641,32
640,31
641,32
640,32
640,31
640,31
640,32
640,31
640,31
640,31
640,32
640,32
640,32
640,31
640,32
640,32
640,32
640,32
640,32
640,32
639,32
639,31
640,32
640,32
640,32
640,32
640,32
640,32
640,32
640,32
639,32
640,32
640,32
640,32
640,32
640,32
640,32
640,32
639,32
640,32
640,32
640,32
640,32
640,32
640,32
640,32
640,32
640,32
640,32
639,32
639,32
640,32
640,32
639,32
640,32
639,32
639,33
637,34
637,33
636,31
633,30
627,31
622,32
619,30
616,29
